iter	Passed	Remaining
819	4573	1003
820	4577	998
821	4581	992
822	4586	986
823	4593	981
824	4613	978
825	4617	972
826	4624	967
827	4629	961
828	4637	956
829	4642	950
830	4648	945
831	4653	939
832	4659	934
833	4673	930
834	4679	924
835	4684	919
836	4691	913
837	4706	909
838	4711	904
839	4716	898
840	4720	892
841	4725	886
842	4729	880
843	4734	875
844	4738	869
845	4743	863
846	4747	857
847	4752	851
848	4756	845
849	4761	840
850	4765	834
851	4770	828
852	4774	822
853	4779	817
854	4783	811
855	4788	805
856	4792	799
857	4796	793
858	4801	788
859	4805	782
860	4810	776
861	4814	770
862	4819	765
863	4823	759
864	4827	753
865	4832	747
866	4836	741
867	4841	736
868	4846	730
869	4850	724
870	4854	719
871	4860	713
872	4864	707
873	4868	701
874	4873	696
875	4877	690
876	4883	684
877	4887	679
878	4891	673
879	4896	667
880	4900	661
881	4905	656
882	4909	650
883	4913	644
884	4918	639
885	4922	633
886	4927	627
887	4931	622
888	4936	616
889	4940	610
890	4944	604
891	4949	599
892	4953	593
893	4957	587
894	4962	582
895	4966	576
896	4971	570
897	4975	565
898	4980	559
899	4984	553
900	4988	548
901	4993	542
902	4998	536
903	5002	531
904	5006	525
905	5011	519
906	5015	514
907	5020	508
908	5024	503
909	5028	497
910	5033	491
911	5037	486
912	5042	480
913	5046	474
914	5051	469
915	5056	463
916	5060	458
917	5064	452
918	5069	446
919	5074	441
920	5079	435
921	5083	430
922	5088	424
923	5092	418
924	5097	413
925	5101	407
926	5106	402
927	5110	396
928	5115	390
929	5119	385
930	5126	379
931	5130	374
932	5135	368
933	5139	363
934	5143	357
935	5148	352
936	5152	346
937	5158	340
938	5163	335
939	5168	329
940	5173	324
941	5179	318
942	5183	313
943	5188	307
944	5192	302
945	5197	296
946	5201	291
947	5206	285
948	5210	280
949	5215	274
950	5219	268
951	5225	263
952	5230	257
953	5236	252
954	5241	246
955	5247	241
956	5251	235
957	5256	230
958	5261	224
959	5265	219
960	5270	213
961	5275	208
962	5279	202
963	5284	197
964	5288	191
965	5293	186
966	5297	180
967	5302	175
968	5306	169
969	5310	164
970	5315	158
971	5319	153
972	5324	147
973	5328	142
974	5332	136
975	5337	131
976	5341	125
977	5346	120
978	5350	114
979	5355	109
980	5359	103
981	5364	98
982	5369	92
983	5373	87
984	5377	81
985	5382	76
986	5386	70
987	5390	65
988	5395	60
989	5399	54
990	5404	49
991	5408	43
992	5413	38
993	5417	32
994	5421	27
995	5426	21
996	5430	16
997	5434	10
998	5439	5
999	5443	0
